idColar,acelerometroEixoX,acelerometroEixoY,acelerometroEixoZ,magnetometroEixoX,magnetometroEixoY,magnetometroEixoZ,giroscopioEixoX,giroscopioEixoY,giroscopioEixoZ,horario,data,velocidadeDeslocamento,comportamento
A2,-6201,10130,-11128,-338,-628,-1339,-4061,10609,-1327,140358.206,250515,000.0,Pastando
A2,-5686,9691,-18286,-433,-641,-1265,-6963,13814,-3683,140415.206,250515,000.0,Pastando
A2,-4553,7360,-11365,-603,-547,-1178,-2954,623,4308,140417.206,250515,000.0,Pastando
A2,-666,4790,-10516,-758,-548,-1054,-2138,-5216,8322,140419.206,250515,000.0,Pastando
A2,-8201,-1414,-16556,871,362,-1523,-632,5224,5839,140524.206,250515,000.0,Pastando
A2,-12327,2117,-15710,703,-144,-1579,9118,-5385,1644,140526.206,250515,000.0,Pastando
A2,-4722,9553,-13943,771,141,-1544,-8332,4136,6658,140618.207,250515,000.0,Pastando
A2,-13965,8808,-18195,619,-70,-1607,-1070,194,-5137,140620.207,250515,000.0,Pastando
A2,-422,8954,-15169,1242,364,-1142,4705,12649,-4746,140640.207,250515,003.9,Andando
A2,-2949,8620,-10033,1336,746,-868,5266,414,-942,140643.207,250515,003.1,Andando
A2,-969,5073,-7288,1407,565,-794,776,13608,4993,140646.207,250515,004.6,Andando
A2,4141,8593,-11273,1301,690,-934,5876,1265,11372,140649.207,250515,004.8,Andando
A2,-2483,8612,-11693,1311,212,-1041,449,8380,-1768,140653.207,250515,004.2,Andando
A2,10029,14307,-6509,1128,156,-1320,-607,3078,-407,140655.207,250515,003.7,Andando
A2,4216,7599,-11392,813,-468,-1314,-4032,-11508,1024,140659.207,250515,003.6,Andando
A2,-3918,7786,-9277,603,-506,-1367,3385,1630,-5731,140701.207,250515,004.2,Andando
A2,5523,11941,-16569,-5,-322,-1624,-2366,-1458,5986,140703.207,250515,003.6,Andando
A2,302,8289,-13256,481,-410,-1501,-106,195,-774,140747.207,250515,000.0,EmPe
A2,-2228,9340,-13681,-679,-538,-1258,-449,5644,-10618,140810.207,250515,000.0,Pastando
A2,-694,10769,-14945,-217,-534,-1481,-1004,3134,-1509,140812.207,250515,000.0,Pastando
A2,-3475,4520,-8919,-1277,-27,-409,2285,376,-269,140839.207,250515,000.0,Pastando
A2,-4995,5644,-14803,-1199,-108,-742,1788,1920,-134,140841.207,250515,000.0,Pastando
A2,-4380,5214,-11898,185,-564,-1419,2503,-1316,-1131,140933.207,250515,000.0,Pastando
A2,-4349,6115,-12320,-428,-657,-1258,-670,3509,6785,140935.207,250515,000.0,Pastando
A2,-24764,5350,-10905,-52,-583,-1460,-475,-8522,5991,141022.207,250515,000.0,Pastando
A2,-944,7781,-9871,-1009,-429,-830,2914,3087,-970,141046.207,250515,000.0,Pastando
A2,-6627,4336,-14390,-1161,855,-269,-445,-699,-928,141300.207,250515,000.0,Pastando
A2,-4221,7066,-10816,-1152,885,-46,395,11394,-6404,141530.207,250515,000.0,Pastando
A2,-5071,4659,-14624,-1272,530,-454,-4128,3153,7003,141532.207,250515,000.0,Pastando
A2,-8782,5592,-15848,-1153,-241,-798,5858,-3347,-82,141636.207,250515,000.0,Pastando
A2,-4305,11007,-17347,-1295,149,-439,-1827,6671,4263,141638.207,250515,000.0,Pastando
A2,-4478,7183,-9699,897,1373,-440,371,7821,-2633,141717.207,250515,004.0,Andando
A2,2916,10082,-12593,396,1593,-458,-2914,7548,673,141720.207,250515,003.8,Andando
A2,-817,5523,-11032,178,1625,-350,-1181,-1908,-1307,141726.207,250515,002.9,Andando
A2,-238,4791,-8345,-1050,702,-1102,7107,3432,-4487,141730.207,250515,003.0,Andando
A2,2096,9688,-13950,-1250,469,-746,-5485,-1190,7728,141733.207,250515,003.2,Andando
A2,-1320,6206,-7953,-1096,530,-1080,-568,6053,1616,141735.207,250515,003.8,Andando
